1 2 5 6 8  99999999 -2749765441191553874 0
0 1 2 5 6 8  99999999 167526991180452308 0
3 5 6 8  99999999 595799112022401 0
0 3 5 6 8  99999999 35152147609321659 0
1 3 5 6 8  99999999 31577352937187253 0
0 1 3 5 6 8  99999999 -307141361848252263 0
2 3 5 6 8  99999999 179677315866835311 0
0 2 3 5 6 8  99999999 111636574622165816 0
1 2 3 5 6 8  99999999 118675271992304040 0
0 1 2 3 5 6 8  99999999 6605756024361376541 0
4 5 6 8  99999999 10134654165284271 0
0 4 5 6 8  99999999 -487157996819378106 0
1 4 5 6 8  99999999 -8241147329268290719 0
0 1 4 5 6 8  99999999 -101730954953909834 0
2 4 5 6 8  99999999 -3074147197865490905 0
0 2 4 5 6 8  99999999 -8290137448776773529 0
1 2 4 5 6 8  99999999 -8286415675743561157 0
0 1 2 4 5 6 8  99999999 8206654472215938345 0
3 4 5 6 8  99999999 -541304252074464951 0
0 3 4 5 6 8  99999999 -468975687830079373 0
1 3 4 5 6 8  99999999 -476457953096739950 0
0 1 3 4 5 6 8  99999999 -1728018960418171989 0
2 3 4 5 6 8  99999999 93156308534094401 0
0 2 3 4 5 6 8  99999999 323307188441857038 0
1 2 3 4 5 6 8  99999999 1645761450769001084 0
0 1 2 3 4 5 6 8  99999999 -3848128393239633929 0
7 8  99999999 100902021 0
0 7 8  99999999 5953219239 0
1 7 8  99999999 101608335147 0
0 1 7 8  99999999 5994891773673 0
2 7 8  99999999 336710044077 0
0 2 7 8  99999999 19865892600543 0
1 2 7 8  99999999 339067014385539 0
0 1 2 7 8  99999999 20004953848746801 0
3 7 8  99999999 59431290369 0
0 3 7 8  99999999 3506446131771 0
1 3 7 8  99999999 3149858389557 0
0 1 3 7 8  99999999 185841644983863 0
2 3 7 8  99999999 198322215961353 0
0 2 3 7 8  99999999 11701010741719827 0
1 2 3 7 8  99999999 10511077445951709 0
0 1 2 3 7 8  99999999 -103248159069615899 0
4 7 8  99999999 1010937348399 0
0 4 7 8  99999999 59645303555541 0
1 4 7 8  99999999 1018013909837793 0
0 1 4 7 8  99999999 60062820680429787 0
2 4 7 8  99999999 3373497931607463 0
0 2 4 7 8  99999999 -162664486225543048 0
1 2 4 7 8  99999999 -2751802274107801964 0
0 1 2 4 7 8  99999999 47353849121814998 0
3 4 7 8  99999999 595442098207011 0
0 3 4 7 8  99999999 35131083794213649 0
1 3 4 7 8  99999999 31558431204971583 0
0 1 3 4 7 8  99999999 -308257744048976793 0
2 3 4 7 8  99999999 178485960764878881 0
0 2 3 4 7 8  99999999 41346623606736446 0
1 2 3 4 7 8  99999999 55533451588613250 0
0 1 2 3 4 7 8  99999999 -1079459166751305591 0
5 7 8  99999999 1012148172651 0
0 5 7 8  99999999 59716742186409 0
1 5 7 8  99999999 1019233209859557 0
0 1 5 7 8  99999999 60134759381713863 0
2 5 7 8  99999999 3377538452136387 0
0 2 5 7 8  99999999 -162426095514336532 0
1 2 5 7 8  99999999 -2747733469935175496 0
0 1 2 5 7 8  99999999 -74287568883606754 0
3 5 7 8  99999999 596155273691439 0
0 3 5 7 8  99999999 35173161147794901 0
1 3 5 7 8  99999999 31596229505646267 0
0 1 3 5 7 8  99999999 -306027644309170437 0
2 3 5 7 8  99999999 -180835036833968247 0
0 2 3 5 7 8  99999999 -179942111683008994 0
1 2 3 5 7 8  99999999 -180034483250349606 0
0 1 2 3 5 7 8  99999999 -6768181962724969773 0
4 5 7 8  99999999 10140712541790369 0
0 4 5 7 8  99999999 -486800552605518324 0
1 4 5 7 8  99999999 -8235046544126650033 0
0 1 4 5 7 8  99999999 258215368402890639 0
2 4 5 7 8  99999999 -3053930395464641879 0
0 2 4 5 7 8  99999999 -2798011245750709143 0
1 2 4 5 7 8  99999999 -2551687843907308459 0
0 1 2 4 5 7 8  99999999 4754518806597290247 0
3 4 5 7 8  99999999 -537735868312373229 0
0 3 4 5 7 8  99999999 -258441045866667775 0
1 3 4 5 7 8  99999999 -287333613705878684 0
0 1 3 4 5 7 8  99999999 -6952290632356505627 0
2 3 4 5 7 8  99999999 -1356870804777216913 0
0 2 3 4 5 7 8  99999999 2089467062339197134 0
1 2 3 4 5 7 8  99999999 624274547215236691 0
0 1 2 3 4 5 7 8  99999999 61289861720138423 0
6 7 8  99999999 1012753584777 0
0 6 7 8  99999999 59752461501843 0
1 6 7 8  99999999 1019842859870439 0
0 1 6 7 8  99999999 60170728732355901 0
2 6 7 8  99999999 3379558712400849 0
0 2 6 7 8  99999999 -162306900158733274 0
1 2 6 7 8  99999999 -2745699067848862262 0
0 1 2 6 7 8  99999999 45742154208874051 0
3 6 7 8  99999999 596511861433653 0
0 3 6 7 8  99999999 35194199824585527 0
1 3 6 7 8  99999999 31615128655983609 0
0 1 3 6 7 8  99999999 -304912594439267259 0
2 3 6 7 8  99999999 -179645103538200129 0
0 2 3 6 7 8  99999999 -109736047232690032 0
1 2 3 6 7 8  99999999 -116968018574639352 0
0 1 2 3 6 7 8  99999999 -1468630490608331647 0
4 6 7 8  99999999 10146778165880763 0
0 4 6 7 8  99999999 -486442680784185078 0
1 4 6 7 8  99999999 -8228938460667623275 0
0 1 4 6 7 8  99999999 -466510300085680733 0
2 4 6 7 8  99999999 -3033689407874997101 0
0 2 4 6 7 8  99999999 2766888190361773011 0
1 2 4 6 7 8  99999999 191535496663583001 0
0 1 2 4 6 7 8  99999999 798052564163128061 0
3 4 6 7 8  99999999 -534163215723131163 0
0 3 4 6 7 8  99999999 -47654543101385881 0
1 3 4 6 7 8  99999999 -97983026476049186 0
0 1 3 4 6 7 8  99999999 6043255186929575655 0
2 3 4 6 7 8  99999999 -2080399031852933899 0
0 2 3 4 6 7 8  99999999 2127888545547920423 0
1 2 3 4 6 7 8  99999999 139771918017271016 0
0 1 2 3 4 6 7 8  99999999 -6292885415347418275 0
5 6 7 8  99999999 10158931208898087 0
0 5 6 7 8  99999999 -485725651246162962 0
1 5 6 7 8  99999999 -8216700346349178007 0
0 1 5 6 7 8  99999999 255538444702590078 0
2 5 6 7 8  99999999 -2993134703326186913 0
0 2 5 6 7 8  99999999 -4331214338235232609 0
1 2 5 6 7 8  99999999 -3355342630730372333 0
0 1 2 5 6 7 8  99999999 -8101237207425055887 0
3 5 6 7 8  99999999 -527005073385927327 0
0 3 5 6 7 8  99999999 374675854793640442 0
1 3 5 6 7 8  99999999 281398517395754121 0
0 1 3 5 6 7 8  99999999 -5541551842298109949 0
2 3 5 6 7 8  99999999 -1342737954974103223 0
0 2 3 5 6 7 8  99999999 -1811521016211294564 0
1 2 3 5 6 7 8  99999999 873954893736911881 0
0 1 2 3 5 6 7 8  99999999 -1030061861086596499 0
4 5 6 7 8  99999999 -8898132660307376043 0
0 4 5 6 7 8  99999999 -1132357795708270338 0
1 4 5 6 7 8  99999999 -4698030893314410075 0
0 1 4 5 6 7 8  99999999 8205247198417643145 0
2 4 5 6 7 8  99999999 121069606283187191 0
0 2 4 5 6 7 8  99999999 -2564797804643369579 0
1 2 4 5 6 7 8  99999999 235848145113457398 0
0 1 2 4 5 6 7 8  99999999 -207218956535940484 0
3 4 5 6 7 8  99999999 257182786459328907 0
0 3 4 5 6 7 8  99999999 8627865055882113307 0
1 3 4 5 6 7 8  99999999 3998574899614192981 0
0 1 3 4 5 6 7 8  99999999 1297251293662261709 0
2 3 4 5 6 7 8  99999999 -1738380383759021057 0
0 2 3 4 5 6 7 8  99999999 5901321327715650265 0
1 2 3 4 5 6 7 8  99999999 -298680087958926071 0
0 1 2 3 4 5 6 7 8  99999999 -824618884132913427 0
9  99999999 10053 9947
0 9  99999999 10083159 9
1 9  99999999 10123371 9
0 1 9  99999999 10153741113 0
2 9  99999999 33546861 2
0 2 9  99999999 33647501583 0
1 2 9  99999999 33781689027 0
0 1 2 9  99999999 33883034094081 0
3 9  99999999 100660689 0
0 3 9  99999999 5938980651 0
1 3 9  99999999 5335016517 0
0 1 3 9  99999999 314765974503 0
2 3 9  99999999 335904719193 0
0 2 3 9  99999999 19818378432387 0
1 2 3 9  99999999 17802950117229 0
0 1 2 3 9  99999999 1050374056916511 0
4 9  99999999 100721007 0
0 4 9  99999999 101023170021 0
1 4 9  99999999 101426054049 0
0 1 4 9  99999999 101730332211147 0
2 4 9  99999999 336106000359 0
0 2 4 9  99999999 337114318360077 0
1 2 4 9  99999999 338458742361513 0
0 1 2 4 9  99999999 339474118588597539 0
3 4 9  99999999 1008519443091 0
0 3 4 9  99999999 59502647142369 0
1 3 4 9  99999999 53451530483823 0
0 1 3 4 9  99999999 3153640298545557 0
2 3 4 9  99999999 3365429381594667 0
0 2 3 4 9  99999999 198560333514085353 0
1 2 3 4 9  99999999 178367757224517351 0
0 1 2 3 4 9  99999999 -1774131706226510701 0
5 9  99999999 100841643 0
0 5 9  99999999 101144167929 0
1 5 9  99999999 101547534501 0
0 1 5 9  99999999 101852177104503 0
2 5 9  99999999 336508562691 0
0 2 5 9  99999999 337518088379073 0
1 2 5 9  99999999 338864122629837 0
0 1 2 5 9  99999999 339880714997726511 0
3 5 9  99999999 1009727371359 0
0 3 5 9  99999999 59573914910181 0
1 3 5 9  99999999 53515550682027 0
0 1 3 5 9  99999999 3157417490239593 0
2 3 5 9  99999999 3369460238224983 0
0 2 3 5 9  99999999 198798154055273997 0
1 2 3 5 9  99999999 178581392625924099 0
0 1 2 3 5 9  99999999 -1761527217543512569 0
4 5 9  99999999 1010332421217 0
0 4 5 9  99999999 1013363418480651 0
1 4 5 9  99999999 1017404748165519 0
0 1 4 5 9  99999999 1020456962410015557 0
2 4 5 9  99999999 3371479289601129 0
0 2 4 5 9  99999999 -2767320963766584818 0
1 2 4 5 9  99999999 -2753835046608180302 0
0 1 2 4 5 9  99999999 -1233855382808618045 0
3 4 5 9  99999999 10116458533645821 0
0 3 4 5 9  99999999 596871053485103439 0
1 3 4 5 9  99999999 536172302283228513 0
0 1 3 4 5 9  99999999 -5259322312708620965 0
2 3 4 5 9  99999999 3014048670593518650 0
0 2 3 4 5 9  99999999 -489654480841398585 0
1 2 3 4 5 9  99999999 -127202430692958871 0
0 1 2 3 4 5 9  99999999 4068086158944168551 0
6 9  99999999 100901961 0
0 6 9  99999999 101204666883 0
1 6 9  99999999 101608274727 0
0 1 6 9  99999999 101913099551181 0
2 6 9  99999999 336709843857 0
0 2 6 9  99999999 337719973388571 0
1 2 6 9  99999999 339066812763999 0
0 1 2 6 9  99999999 340084013202290997 0
3 6 9  99999999 1010331335493 0
0 3 6 9  99999999 59609548794087 0
1 3 6 9  99999999 53547560781129 0
0 1 3 6 9  99999999 3159306086086611 0
2 3 6 9  99999999 3371475666540141 0
0 2 3 6 9  99999999 198917064325868319 0
1 2 3 6 9  99999999 178688210326627473 0
